transaction_id,customer_id,product_id,quantity,discount_pct,transaction_date
1,1,28,2,0.1,2026-01-22
2,2,39,2,0,2025-08-22
3,3,15,1,0,2025-09-15
4,3,11,1,0,2025-12-10
5,3,38,1,0,2026-02-15
6,4,26,1,0.05,2025-07-30
7,4,45,1,0,2025-08-20
8,4,42,1,0,2025-10-08
9,4,16,3,0,2025-12-10
10,4,44,2,0.1,2026-03-21
11,5,16,1,0,2025-12-04
12,5,21,1,0,2026-03-06
13,6,21,2,0,2024-12-11
14,7,12,1,0,2025-07-03
15,8,42,1,0,2026-02-05
16,9,16,1,0,2025-08-28
17,10,46,1,0.1,2025-11-21
18,10,18,1,0.2,2026-01-08
19,11,35,2,0,2026-03-24
20,12,48,1,0.15,2026-01-26
21,12,24,2,0,2026-03-14
22,13,33,3,0,2025-11-05
23,13,26,2,0.1,2025-12-07
24,13,1,1,0.1,2026-03-24
25,14,4,1,0,2025-05-11
26,14,11,1,0.05,2025-06-24
27,14,47,1,0,2025-07-17
28,14,31,1,0.2,2025-10-30
29,15,49,1,0.1,2025-08-05
30,15,27,1,0,2025-11-20
31,15,28,1,0.2,2026-01-09
32,16,41,2,0,2025-02-12
33,16,19,1,0,2025-03-31
34,17,52,1,0,2025-04-29
35,18,35,2,0,2025-10-15
36,19,19,1,0,2025-12-10
37,20,36,1,0,2026-02-07
38,21,30,1,0,2026-03-30
39,22,40,1,0.1,2026-03-05
40,23,13,2,0.1,2026-02-11
41,24,57,1,0,2026-03-18
42,25,6,1,0,2026-03-14
43,26,43,2,0.1,2025-11-23
44,26,4,1,0,2026-02-21
45,26,33,1,0.1,2026-03-26
46,27,24,1,0.05,2025-12-15
47,28,49,1,0,2026-03-26
48,29,42,1,0.2,2026-01-25
49,30,18,1,0.1,2025-10-14
50,30,44,1,0.1,2026-01-13
51,31,31,1,0.1,2025-12-05
52,32,31,1,0.05,2026-02-11
53,33,48,1,0,2025-05-25
54,33,12,2,0,2025-07-16
55,34,18,1,0,2026-03-19
56,35,17,1,0,2026-03-07
57,36,20,1,0.05,2026-02-11
58,37,13,1,0.2,2026-01-03
59,38,10,2,0,2026-03-28
60,39,9,2,0,2025-03-18
61,39,15,1,0,2025-04-03
62,39,5,1,0,2025-05-25
63,39,7,1,0,2025-07-31
64,39,14,1,0,2025-10-03
65,39,44,1,0,2026-01-25
66,40,27,1,0,2025-12-20
67,41,22,1,0,2024-07-05
68,42,19,2,0.1,2026-03-10
69,43,6,1,0,2025-05-03
70,43,53,1,0.1,2025-08-02
71,43,34,2,0,2025-09-03
72,43,19,1,0.2,2025-10-26
73,43,21,1,0.05,2025-12-21
74,43,12,1,0.1,2026-03-23
75,44,24,1,0.15,2025-11-12
76,44,39,1,0,2025-12-23
77,44,15,1,0,2026-03-04
78,45,10,1,0.15,2026-01-22
79,46,36,1,0,2025-12-13
80,47,42,1,0.05,2025-05-13
81,48,26,1,0,2026-02-04
82,49,42,1,0.05,2024-12-14
83,50,19,1,0,2024-09-15
84,50,21,1,0.2,2024-10-05
85,50,34,1,0,2024-12-31
86,50,23,1,0.05,2025-04-07
87,50,13,1,0,2025-07-17
88,50,14,1,0.25,2025-10-22
89,50,17,1,0,2025-12-27
90,51,18,1,0,2025-03-03
91,52,30,1,0,2025-12-07
92,52,38,1,0,2026-03-24
93,53,48,1,0,2025-06-27
94,53,18,1,0.15,2025-10-02
95,53,7,1,0,2025-10-30
96,53,31,1,0.1,2026-02-08
97,54,28,1,0,2026-02-01
98,55,4,1,0.1,2026-03-24
99,56,38,1,0.05,2025-08-17
100,57,6,1,0,2025-05-25
101,58,44,1,0.1,2026-02-06
102,58,19,1,0.05,2026-03-26
103,59,20,1,0.1,2025-09-15
104,59,29,2,0.2,2025-10-14
105,60,3,1,0,2025-08-18
106,61,6,1,0.05,2026-03-09
107,62,22,1,0,2025-08-08
108,63,20,1,0.1,2026-03-21
109,64,51,1,0,2025-08-11
110,65,6,2,0.05,2026-03-07
111,66,7,3,0.05,2025-09-30
112,66,31,1,0.15,2025-10-21
113,66,32,1,0,2025-12-20
114,66,28,1,0.1,2026-01-05
115,66,5,1,0,2026-03-23
116,67,32,1,0,2025-12-27
117,68,29,2,0.1,2026-01-25
118,69,25,2,0,2025-12-16
119,70,31,1,0.1,2026-02-13
120,71,41,2,0,2024-07-11
121,72,18,2,0,2024-11-18
122,73,38,2,0,2026-02-25
123,74,12,1,0.1,2025-11-30
124,75,31,1,0,2025-12-22
125,76,16,2,0.2,2025-11-20
126,76,17,1,0,2026-03-15
127,77,21,3,0.1,2025-07-20
128,77,39,3,0,2025-09-14
129,77,53,2,0,2025-12-28
130,77,27,1,0.1,2026-02-18
131,78,29,1,0.15,2024-10-11
132,78,35,2,0,2024-12-06
133,78,24,1,0.1,2025-01-21
134,78,20,1,0,2025-05-13
135,78,48,1,0,2025-08-22
136,78,36,1,0,2025-10-26
137,78,43,1,0.15,2026-01-11
138,78,44,1,0,2026-02-13
139,79,34,2,0,2025-12-14
140,79,49,1,0.1,2026-02-10
141,80,44,1,0,2025-04-24
142,81,13,3,0.15,2026-01-12
143,82,24,2,0.1,2026-03-25
144,83,5,1,0,2026-02-27
145,84,6,1,0.1,2025-05-19
146,85,19,1,0.1,2024-12-21
147,86,43,1,0.25,2026-01-04
148,87,4,1,0,2025-12-26
149,88,20,1,0.1,2025-09-19
150,88,14,3,0,2025-12-18
151,88,44,1,0.15,2026-01-30
